date,city,year,job_openings,skill_category
2022-01-07,San Francisco,2025,54,DevOps
2023-10-18,New York,2024,139,Data Science
2022-05-20,Sydney,2025,140,Cybersecurity
2023-02-12,Tokyo,2024,145,AI
2023-04-18,Yokohama,2025,105,DevOps
2023-09-13,Berlin,2024,198,DevOps
2022-01-17,Berlin,2025,101,AI
2022-01-01,Shanghai,2025,175,AI
2023-08-23,Bangalore,2023,74,Data Science
2022-08-16,London,2024,89,Software Development
2023-12-13,Sydney,2023,196,DevOps
2023-08-11,London,2024,166,Data Science
2023-01-11,London,2024,63,DevOps
2022-06-11,London,2024,106,DevOps
2022-01-15,Bangalore,2023,173,DevOps
2022-01-30,London,2023,58,Cybersecurity
2023-04-22,Shanghai,2023,142,AI
2022-08-15,Tokyo,2023,188,DevOps
2023-03-16,Berlin,2024,163,Data Science
2022-01-13,Tokyo,2023,118,Cloud Computing
2022-04-10,Yokohama,2023,128,Cloud Computing
2023-04-19,Singapore,2024,67,Data Science
2022-08-09,Sydney,2025,121,AI
2022-10-25,London,2025,109,DevOps
2022-02-07,San Francisco,2024,131,Cloud Computing
2023-04-17,New York,2024,87,Cybersecurity
2023-08-01,Tokyo,2024,172,Cybersecurity
2023-05-12,Osaka,2023,128,AI
2022-09-12,Yokohama,2024,102,Cloud Computing
2022-11-20,New York,2025,79,Cybersecurity
2022-03-04,Singapore,2025,130,Cloud Computing
2022-12-22,Bangalore,2024,173,Cloud Computing
2023-02-06,Yokohama,2023,130,AI
2023-04-19,Singapore,2023,130,Cloud Computing
2022-03-02,Toronto,2023,162,Data Science
2023-02-23,Singapore,2023,90,AI
2022-03-11,Osaka,2025,103,DevOps
2022-10-18,San Francisco,2025,63,Cloud Computing
2022-12-28,Berlin,2024,168,DevOps
2022-05-28,Tokyo,2024,181,Cybersecurity
2023-03-27,Berlin,2024,165,Data Science
2022-09-09,Toronto,2025,164,DevOps
2022-04-04,Yokohama,2024,149,DevOps
2022-09-04,Bangalore,2025,189,DevOps
2022-01-29,Toronto,2025,65,Data Science
2022-07-19,Osaka,2023,129,Data Science
2023-04-25,Singapore,2024,71,AI
2022-09-13,Berlin,2023,93,AI
2022-10-30,Singapore,2023,150,DevOps
2023-01-03,Sydney,2024,55,Data Science
2023-10-11,San Francisco,2025,115,Cybersecurity
2022-09-22,Berlin,2024,175,Cybersecurity
2022-11-29,Singapore,2023,153,Cloud Computing
2022-11-10,London,2024,51,AI
2022-10-12,Osaka,2024,104,Cybersecurity
2022-10-20,New York,2025,112,DevOps
2023-08-30,Berlin,2025,91,Data Science
2022-03-17,Sydney,2023,159,Data Science
2023-11-27,Yokohama,2024,140,AI
2022-04-22,Singapore,2024,134,DevOps
2023-01-29,New York,2024,163,Software Development
2022-08-18,Osaka,2025,135,Cybersecurity
2023-06-14,Shanghai,2025,79,AI
2022-07-14,Shanghai,2023,127,Cloud Computing
2023-01-18,New York,2025,85,Cloud Computing
2022-05-25,Osaka,2025,83,Cybersecurity
2022-08-13,Shanghai,2025,182,Cybersecurity
2023-08-08,Bangalore,2023,118,Software Development
2023-02-04,Singapore,2024,116,Data Science
2023-10-25,Shanghai,2024,58,Cybersecurity
2022-08-26,Osaka,2025,116,Cybersecurity
2023-12-07,London,2024,54,Cloud Computing
2023-09-21,Sydney,2024,75,AI
2023-10-04,New York,2024,58,AI
2023-02-07,Toronto,2023,156,Data Science
2022-09-07,Toronto,2025,172,DevOps
2023-03-09,London,2024,74,Cloud Computing
2023-06-06,Osaka,2024,192,AI
2023-10-01,Yokohama,2025,184,Cloud Computing
2023-01-13,Singapore,2025,190,Cybersecurity
2022-11-18,Toronto,2023,185,Data Science
2022-06-02,Singapore,2025,197,AI
2023-04-24,Bangalore,2025,104,AI
2023-11-30,Osaka,2025,162,Data Science
2023-09-17,Sydney,2023,106,Cloud Computing
2023-06-21,Tokyo,2024,136,AI
2023-01-18,Berlin,2025,67,AI
2022-03-09,San Francisco,2025,125,Data Science
2023-01-22,Yokohama,2024,80,AI
2023-10-04,Singapore,2023,115,Cloud Computing
2022-04-08,San Francisco,2025,156,Data Science
2023-10-26,Sydney,2023,63,Cloud Computing
2022-06-20,Yokohama,2025,165,AI
2022-07-02,London,2025,115,Data Science
2023-12-08,Sydney,2024,200,AI
2022-02-17,London,2024,58,DevOps
2022-01-12,Osaka,2023,101,Cloud Computing
2023-03-06,London,2025,195,AI
2022-09-12,San Francisco,2023,181,AI
2022-01-13,Shanghai,2025,191,Data Science
2022-04-19,Yokohama,2025,57,Cybersecurity
2023-11-04,New York,2024,173,DevOps
2023-06-07,Yokohama,2025,188,Cybersecurity
2023-10-08,Sydney,2023,129,Data Science
2023-05-10,Singapore,2024,123,AI
2022-06-28,San Francisco,2024,148,Data Science
2023-10-23,Toronto,2023,53,Data Science
2023-09-09,New York,2025,106,Cloud Computing
2022-03-03,Bangalore,2025,137,Data Science
2022-01-06,Berlin,2023,137,Cloud Computing
2022-05-16,Tokyo,2024,107,Cybersecurity
2023-09-23,Shanghai,2023,112,Cybersecurity
2022-10-12,Shanghai,2025,158,DevOps
2022-05-15,San Francisco,2024,68,DevOps
2022-10-27,New York,2024,122,Data Science
2023-07-03,London,2025,151,Cybersecurity
2023-06-29,Tokyo,2023,103,AI
2023-10-17,San Francisco,2023,123,Data Science
2022-07-30,Osaka,2025,152,DevOps
2022-08-18,London,2023,178,AI
2022-11-20,San Francisco,2023,147,Software Development
2023-03-10,Tokyo,2023,93,Software Development
2023-08-31,Berlin,2024,193,Software Development
2022-12-06,Osaka,2023,172,Software Development
2023-06-11,Singapore,2025,94,Software Development
2022-03-16,London,2025,51,Software Development
2022-08-09,Sydney,2025,92,Software Development
2022-05-28,Sydney,2025,160,Software Development
2022-12-20,London,2023,97,Software Development
2023-08-02,London,2024,50,Software Development
2023-11-11,Osaka,2023,189,Data Science
2023-02-16,Shanghai,2025,92,Software Development
2022-08-31,San Francisco,2023,59,DevOps
2022-07-21,Osaka,2025,116,AI
2023-11-06,Osaka,2023,91,Data Science
2022-05-11,San Francisco,2025,128,DevOps
2022-06-15,London,2025,129,Data Science
2023-07-05,New York,2024,175,Cybersecurity
2023-02-13,Singapore,2024,161,Cybersecurity
2022-03-24,London,2024,135,DevOps
2023-07-16,Yokohama,2025,141,DevOps
2022-05-04,Sydney,2025,169,Data Science
2022-08-02,Tokyo,2023,152,DevOps
2023-05-24,Sydney,2023,69,AI
2022-03-29,New York,2025,97,Data Science
2023-08-07,Singapore,2024,191,DevOps
2023-01-17,Tokyo,2023,195,Data Science
2023-03-08,London,2025,85,Cybersecurity
2023-08-30,Shanghai,2023,86,Cybersecurity
2022-01-25,Yokohama,2025,110,DevOps
2023-07-23,Shanghai,2025,169,Cybersecurity
2023-06-12,Bangalore,2025,179,Cloud Computing
2023-04-19,Toronto,2023,108,Cybersecurity
2023-02-21,Bangalore,2023,166,Software Development
2023-12-17,Berlin,2024,55,AI
2023-06-11,Toronto,2025,147,AI
2022-01-18,Bangalore,2025,85,AI
2022-02-03,New York,2025,85,Software Development
2022-02-10,Yokohama,2025,191,Data Science
2022-08-15,Tokyo,2023,125,Cloud Computing
2022-04-18,Bangalore,2023,63,DevOps
2022-04-10,Toronto,2025,186,Data Science
2022-12-01,Osaka,2023,82,Cloud Computing
2023-08-03,San Francisco,2023,52,Cybersecurity
2022-05-15,Yokohama,2024,141,DevOps
2022-10-06,Singapore,2023,73,AI
2023-06-28,Sydney,2025,194,Cloud Computing
2022-09-21,Berlin,2024,80,AI
2023-03-03,Shanghai,2023,129,Data Science
2022-07-30,San Francisco,2025,108,Cybersecurity
2023-04-21,Osaka,2024,144,Cloud Computing
2022-05-12,Bangalore,2023,146,Data Science
2022-09-29,Osaka,2023,70,AI
2022-05-05,Singapore,2023,189,Data Science
2023-10-11,Tokyo,2025,177,DevOps
2023-12-04,San Francisco,2023,125,Cloud Computing
2022-10-04,Singapore,2023,185,AI
2022-07-17,San Francisco,2025,114,Data Science
2023-11-02,Toronto,2023,54,DevOps
2022-04-08,Toronto,2023,91,Cybersecurity
2022-09-24,Sydney,2023,132,DevOps
2022-05-12,New York,2025,131,DevOps
2023-03-01,Sydney,2025,178,DevOps
2023-09-09,Singapore,2024,120,DevOps
2023-04-18,Berlin,2025,120,DevOps
2022-02-12,Osaka,2024,192,DevOps
2023-11-10,Toronto,2023,81,Cybersecurity
2022-05-26,Yokohama,2024,165,Cybersecurity
2023-11-19,San Francisco,2024,186,AI
2022-10-20,Berlin,2025,191,Data Science
2023-04-01,Berlin,2025,105,Cybersecurity
2023-01-17,London,2023,152,Data Science
2023-03-18,Berlin,2025,138,Data Science
2023-11-17,Bangalore,2025,129,Cybersecurity
2023-10-31,London,2023,185,Data Science
2022-09-18,Shanghai,2025,169,DevOps
2022-06-18,Bangalore,2025,185,AI
2023-09-17,Berlin,2024,184,Software Development
2023-07-14,Singapore,2024,78,Software Development
2023-08-06,Singapore,2024,150,Software Development
2022-12-24,London,2023,96,Software Development
2023-12-03,Osaka,2025,139,Cybersecurity
2023-04-09,Berlin,2023,147,Cybersecurity
2022-10-08,New York,2024,146,Data Science
2022-05-29,Bangalore,2025,140,Data Science
2022-05-21,Yokohama,2023,78,AI
2022-11-01,Shanghai,2025,200,AI
2023-12-03,San Francisco,2023,59,Data Science
2023-08-03,New York,2024,87,AI
2022-08-16,Singapore,2025,123,AI
2022-08-19,New York,2024,182,DevOps
